# word	AvgPosScore	AvgNegScore
advisedly	0.375	0.0
playfulness	0.5	0.0
deadpan	0.375	0.375
motional	0.0	0.125
loth	0.125	0.625
conductive	0.5	0.0
ira	0.125	0.75
imprimatur	0.25	0.0
unobtrusiveness	0.125	0.625
ire	0.25	0.375
extend	0.25	0.0
nature	0.5	0.0
vestment	0.0	0.25
cercospora	0.25	0.0
embracement	0.125	0.0
tyranny	0.0	0.375
incense	0.5	0.125
raimentless	0.25	0.0
obscenity	0.166666666667	0.25
mortified	0.0	0.5
propitiousness	0.5	0.125
unsymmetrical	0.125	0.25
fondler	0.1875	0.0
limitedly	0.25	0.0
mulishly	0.0	0.125
meaningfulness	0.75	0.125
wearying	0.0	0.625
unhealed	0.0	0.5
charnel	0.0	0.5
basque	0.0	0.125
underdone	0.125	0.0
insatiably	0.125	0.0
triviality	0.125	0.291666666667
muck	0.0	0.25
much	0.1875	0.0416666666667
destructible	0.125	0.125
dehumanised	0.125	0.125
deliberately	0.375	0.0
fry	0.0	0.625
aphrodisiacal	0.625	0.0
obese	0.25	0.25
spiv	0.5	0.125
spit	0.0	0.5
katharsis	0.375	0.0
spic	0.25	0.125
spik	0.0	0.25
skilfully	0.25	0.0
wildcat	0.0	0.25
participatory	0.125	0.0
farseeing	0.375	0.0
superlunary	0.5	0.125
professionally	0.125	0.0
brainstorm	0.25	0.0
ternate	0.25	0.0
basketweaver	0.125	0.0
prostrate	0.0	0.125
nectariferous	0.25	0.0
saltiness	0.0	0.125
squawk	0.0	0.333333333333
conditioned	0.25	0.25
anhedonia	0.0	0.625
noncompetitive	0.0	0.75
actable	0.625	0.0
hone	0.125	0.0
memorial	0.375	0.0
unexchangeable	0.125	0.625
jolting	0.0	0.625
honk	0.125	0.0
undesirous	0.125	0.375
split	0.0	0.125
dunkirk	0.125	0.25
boiled	0.0	0.5
effortlessly	0.125	0.125
chauvinistic	0.375	0.0
ascensive	0.125	0.375
tangibility	0.125	0.375
featherweight	0.0	0.125
downwardly	0.0	0.125
peremptory	0.0625	0.4375
academic	0.25	0.3125
stillness	0.125	0.291666666667
corporate	0.0	0.5
plaque	0.0	0.125
benignity	0.5	0.375
bellow	0.0	0.125
appropriately	0.25	0.0
punily	0.25	0.0
homogeneity	0.4375	0.1875
lassa	0.0	0.125
canthus	0.0	0.125
brandish	0.25	0.0
claudication	0.125	0.0
haj	0.0	0.625
ham	0.1875	0.125
duffer	0.25	0.0
toeless	0.0	0.25
advancement	0.125	0.0
hag	0.0	0.5
objurgate	0.0625	0.5625
beloved	0.3125	0.0
hat	0.0	0.25
biradially	0.5	0.0
sulfa	0.375	0.0
unblinkingly	0.25	0.0
irretrievable	0.0	0.625
nefariousness	0.125	0.75
abient	0.5	0.25
unequivocally	0.25	0.0
otherworldly	0.0	0.875
indicative	0.25	0.0
clustered	0.125	0.1875
shadow	0.05	0.225
riskiness	0.0	0.25
studiousness	0.375	0.0
cholecystokinin	0.0	0.75
effusion	0.5	0.0
beneficial	0.625	0.0
crowd	0.125	0.125
discordantly	0.375	0.0
begin	0.0625	0.4375
deflection	0.0	0.4375
captive	0.125	0.0833333333333
baseborn	0.0	0.625
fiduciary	0.125	0.0
eudaimonia	0.75	0.0
ignitible	0.625	0.0
bottom	0.125	0.25
inhuman	0.125	0.4375
nearsightedness	0.125	0.25
alligatored	0.0	0.25
standpat	0.125	0.0
unequipped	0.125	0.5
unusefulness	0.375	0.25
